Domain,Having_IP,Have_At_Sign,URL_Length,URL_Depth,Redirection,HTTP_Domain,Tiny_URL,Prefix_Suffix,Iframe,Mouse_Over,Right_Click,Forwarding,Label
graphicriver.net,0,0,1,1,0,0,0,0,0,0,1,0,benign
ecnavi.jp,0,0,1,1,1,0,0,0,0,0,1,0,benign
hubpages.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,benign
icicibank.com,0,0,1,3,0,0,0,0,0,0,1,1,benign
nypost.com,0,0,1,4,0,0,1,0,1,0,1,0,benign
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,0,1,0,benign
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
tobogo.net,0,0,1,2,0,0,0,0,1,1,1,1,benign
akhbarelyom.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
tunein.com,0,0,1,5,0,0,0,0,0,0,1,1,benign
tune.pk,0,0,1,3,0,0,0,0,1,1,1,1,benign
sfglobe.com,0,0,1,4,0,0,0,0,1,0,1,0,benign
mic.com,0,0,1,3,0,0,0,0,0,0,1,1,benign
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
couchtuner.eu.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
olx.in,0,0,1,3,0,0,0,0,1,1,1,1,benign
venturebeat.com,0,0,1,4,0,0,1,0,1,0,1,0,benign
allegro.pl,0,0,1,2,0,0,0,0,0,0,1,0,benign
allegro.pl,0,0,1,2,0,0,0,0,1,1,1,1,benign
tinnhanh360.net,0,0,1,1,0,0,0,0,1,1,1,1,benign
metro.co.uk,0,0,1,4,0,0,0,0,0,0,1,0,benign
atwiki.jp,0,0,1,2,0,0,0,0,0,0,1,0,benign
emgn.com,0,0,1,2,0,0,0,0,1,1,1,1,benign
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,1,1,benign
motthegioi.vn,0,0,1,2,0,0,0,0,1,1,1,1,benign
spankbang.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
torcache.net,0,0,1,2,0,0,0,0,0,0,1,0,benign
mic.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
thenextweb.com,0,0,1,7,0,0,0,0,0,0,1,0,benign
emgn.com,0,0,1,2,0,0,0,0,1,1,1,1,benign
depositphotos.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
serverfault.com,0,0,1,3,0,0,1,0,0,0,1,0,benign
kakaku.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
indianexpress.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
nypost.com,0,0,1,4,0,0,1,0,1,0,1,0,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
sourceforge.net,0,0,1,3,0,0,0,0,0,0,1,0,benign
babal.net,0,0,1,4,0,0,0,0,0,0,1,0,benign
serverfault.com,0,0,1,3,0,0,1,0,0,0,1,0,benign
cookpad.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
plarium.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
pikabu.ru,0,0,1,3,0,0,0,0,0,0,1,0,benign
grantland.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
allegro.pl,0,0,1,3,0,0,0,0,0,0,1,0,benign
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,1,1,benign
allegro.pl,0,0,1,2,0,0,0,0,1,1,1,1,benign
europa.eu,0,0,1,6,0,0,0,0,0,0,1,1,benign
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,benign
persianblog.ir,0,0,1,4,0,0,0,0,1,1,1,1,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
kenh14.vn,0,0,1,2,0,0,0,0,0,0,1,0,benign
twitter.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
nesn.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
fishki.net,0,0,1,1,0,0,0,0,0,0,1,0,benign
syosetu.com,0,0,1,3,0,0,0,0,1,0,1,0,benign
akhbarelyom.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
allegro.pl,0,0,1,1,0,0,0,0,0,0,1,0,benign
getpocket.com,0,0,1,1,1,0,1,0,0,0,1,0,benign
mylust.com,0,0,1,3,0,0,1,0,0,0,1,0,benign
censor.net.ua,0,0,1,3,0,0,0,0,0,0,1,0,benign
pornsharing.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
genius.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
sourceforge.net,0,0,1,3,0,0,0,0,0,0,1,0,benign
codecanyon.net,0,0,1,4,0,0,0,0,0,0,1,1,benign
qz.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
kenh14.vn,0,0,1,2,0,0,0,0,0,0,1,0,benign
uproxx.com,0,0,1,4,0,0,1,0,0,0,1,0,benign
babal.net,0,0,1,4,0,0,0,0,0,0,1,0,benign
mic.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
torcache.net,0,0,1,2,0,0,0,0,0,0,1,0,benign
paytm.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
motthegioi.vn,0,0,1,3,0,0,0,0,1,1,1,1,benign
torcache.net,0,0,1,2,0,0,0,0,0,0,1,0,benign
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,benign
genius.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
thenextweb.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,0,1,0,benign
sourceforge.net,0,0,1,3,0,0,0,0,0,0,1,1,benign
nypost.com,0,0,1,4,0,0,1,0,1,0,1,0,benign
ap.org,0,0,1,4,0,0,0,0,0,0,1,0,benign
indianexpress.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,benign
correios.com.br,0,0,1,5,0,0,0,0,0,0,1,0,benign
web.de,0,0,1,6,0,0,0,0,0,0,1,0,benign
noticias.uol.com.br,0,0,1,6,0,0,0,0,0,0,1,0,benign
bdnews24.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
kenh14.vn,0,0,1,2,0,0,0,0,0,0,1,0,benign
codecanyon.net,0,0,1,4,0,0,0,0,0,0,1,1,benign
tunein.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,1,1,benign
kickass.to,0,0,1,1,0,0,0,0,0,0,1,0,benign
weathernews.jp,0,0,1,4,0,0,0,0,0,0,1,0,benign
atwiki.jp,0,0,1,2,0,0,0,0,0,0,1,0,benign
plarium.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
chaturbate.com,0,0,1,3,0,0,0,0,1,1,1,1,benign
babal.net,0,0,1,4,0,0,0,0,0,0,1,0,benign
sberbank.ru,0,0,1,9,0,0,0,0,1,1,1,1,benign
torcache.net,0,0,1,2,0,0,0,0,0,0,1,0,benign
torcache.net,0,0,1,2,0,0,0,0,0,0,1,0,benign
pikabu.ru,0,0,1,3,0,0,0,0,0,0,1,0,benign
mirtesen.ru,0,0,1,1,0,0,0,0,0,0,1,0,benign
mirtesen.ru,0,0,1,1,0,0,0,0,0,0,1,0,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
jalopnik.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
techcrunch.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
twitter.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
torcache.net,0,0,1,2,0,0,0,0,0,0,1,0,benign
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
arstechnica.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
tunein.com,0,0,1,5,0,0,0,0,0,0,1,1,benign
torrentdn.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
searchengineland.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
nesn.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
paytm.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
torcache.net,0,0,1,2,0,0,0,0,0,0,1,0,benign
metro.co.uk,0,0,1,4,0,0,0,0,0,0,1,0,benign
censor.net.ua,0,0,1,14,0,0,0,0,0,0,1,0,benign
depositphotos.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
putlocker.is,0,0,1,1,0,0,0,0,0,0,1,0,benign
tunein.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
lifehacker.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,benign
mylust.com,0,0,1,3,0,0,1,0,0,0,1,0,benign
buzzfil.net,0,0,1,3,0,0,0,0,1,1,1,1,benign
censor.net.ua,0,0,1,3,0,0,0,0,0,0,1,0,benign
ap.org,0,0,1,4,0,0,0,0,0,0,1,0,benign
akhbarelyom.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
sourceforge.net,0,0,1,3,0,0,0,0,0,0,1,0,benign
kakaku.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
jezebel.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
grantland.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
gov.uk,0,0,1,3,0,0,0,0,0,0,1,0,benign
emgn.com,0,0,1,2,0,0,0,0,1,1,1,1,benign
bdnews24.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
web.de,0,0,1,5,0,0,0,0,0,0,1,0,benign
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,benign
torcache.net,0,0,1,2,0,0,0,0,0,0,1,0,benign
twitter.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
seekingalpha.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
web.tv,0,0,1,8,0,0,0,0,0,0,1,0,benign
indianexpress.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
web.de,0,0,1,5,0,0,0,0,0,0,1,0,benign
olx.co.id,0,0,1,7,0,0,1,0,1,1,1,1,benign
mylust.com,0,0,1,3,0,0,1,0,0,0,1,0,benign
babal.net,0,0,1,4,0,0,0,0,0,0,1,0,benign
techcrunch.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
kakaku.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
metro.co.uk,0,0,1,4,0,0,0,0,0,0,1,0,benign
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,0,1,0,benign
web.de,0,0,1,5,0,0,0,0,0,0,1,0,benign
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
gov.uk,0,0,1,3,0,0,0,0,0,0,1,0,benign
olx.ua,0,0,1,4,0,0,0,0,0,0,1,1,benign
olx.pl,0,0,1,3,0,0,0,0,0,0,1,1,benign
babal.net,0,0,1,3,0,0,0,0,0,0,1,0,benign
correios.com.br,0,0,1,4,0,0,0,0,0,0,1,0,benign
myspace.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
indianexpress.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
web.de,0,0,1,5,0,0,0,0,0,0,1,0,benign
olx.in,0,0,1,3,0,0,0,0,1,1,1,1,benign
squarespace.com,0,0,1,5,0,0,0,0,0,0,1,1,benign
privatbank.ua,0,0,1,4,0,0,0,0,0,0,1,0,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
tunein.com,0,0,1,5,0,0,0,0,0,0,1,1,benign
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
torcache.net,0,0,1,2,0,0,0,0,0,0,1,0,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,benign
xhamster.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
perezhilton.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
comicbook.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
paytm.com,0,0,1,8,0,0,0,0,0,0,1,0,benign
grantland.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
icicibank.com,0,0,1,5,0,0,0,0,0,0,1,1,benign
deadspin.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
udn.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
quizlet.com,0,0,1,1,0,0,1,0,0,0,1,0,benign
depositphotos.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
pitchfork.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
emgn.com,0,0,1,2,0,0,0,0,1,1,1,1,benign
katproxy.com,0,0,1,1,0,0,0,0,1,1,1,1,benign
elitedaily.com,0,0,1,3,0,0,0,0,0,0,1,1,benign
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,benign
pornsharing.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
thenextweb.com,0,0,1,7,0,0,0,0,0,0,1,0,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
atwiki.jp,0,0,1,2,0,0,0,0,0,0,1,0,benign
codecanyon.net,0,0,1,4,0,0,0,0,0,0,1,1,benign
interpark.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
gtbank.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
medium.com,0,1,1,2,0,0,0,0,0,0,1,0,benign
torcache.net,0,0,1,2,0,0,0,0,0,0,1,0,benign
correios.com.br,0,1,1,8,0,0,0,0,0,0,1,0,benign
olx.pl,0,0,1,7,0,0,0,0,0,0,1,1,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
twitter.com,0,0,1,1,0,0,0,0,0,0,1,1,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
depositphotos.com,0,0,1,1,0,0,0,0,0,0,1,1,benign
interpark.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
zozo.jp,0,0,1,2,0,0,0,0,1,1,1,1,benign
persianblog.ir,0,0,1,4,0,0,0,0,1,1,1,1,benign
onedio.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
hollywoodlife.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
fortune.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
ringring.vn,0,0,1,1,0,0,0,0,1,1,1,1,benign
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,1,1,benign
buzzfil.net,0,0,1,4,0,0,0,0,1,1,1,1,benign
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
fanpage.gr,0,0,1,2,0,0,0,0,0,0,1,1,benign
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,benign
mylust.com,0,0,1,3,0,0,1,0,0,0,1,0,benign
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,1,1,benign
babal.net,0,0,1,4,0,0,0,0,0,0,1,0,benign
thechive.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
thenextweb.com,0,0,1,7,0,0,0,0,0,0,1,0,benign
babal.net,0,0,1,4,0,0,0,0,0,0,1,0,benign
pikabu.ru,0,0,1,3,0,0,0,0,0,0,1,0,benign
variety.com,0,0,1,8,0,0,0,0,0,0,1,0,benign
otomoto.pl,0,0,1,3,0,0,0,0,0,0,1,0,benign
elitedaily.com,0,0,1,4,0,0,0,0,0,0,1,1,benign
twitter.com,0,0,1,1,0,0,0,0,0,0,1,1,benign
olx.ro,0,0,1,7,0,0,0,0,0,0,1,1,benign
fazenda.gov.br,0,0,1,3,0,0,0,0,1,1,1,1,benign
bdnews24.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
emgn.com,0,0,1,2,0,0,0,0,1,1,1,1,benign
superuser.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
mic.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
olx.ro,0,0,1,7,0,0,0,0,0,0,1,1,benign
momoshop.com.tw,0,0,1,2,0,0,0,0,1,1,1,1,benign
variety.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
torcache.net,0,0,1,2,0,0,0,0,0,0,1,0,benign
grantland.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
1337x.to,0,0,1,3,0,0,0,0,0,0,1,0,benign
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
kotaku.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
katproxy.com,0,0,1,1,0,0,0,0,1,1,1,1,benign
stackoverflow.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
aljazeera.net,0,0,1,6,0,0,0,0,0,0,1,1,benign
pikabu.ru,0,0,1,3,0,0,0,0,0,0,1,0,benign
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,benign
qz.com,0,0,1,2,0,0,0,0,0,0,1,1,benign
serverfault.com,0,0,1,3,0,0,1,0,0,0,1,0,benign
distractify.com,0,0,1,10,0,0,0,0,0,0,1,0,benign
twitter.com,0,0,1,1,0,0,0,0,0,0,1,1,benign
depositphotos.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
ecnavi.jp,0,0,1,1,1,0,0,0,0,0,1,0,benign
wpengine.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
prezi.com,0,0,1,4,0,0,0,0,0,0,1,0,benign
mylust.com,0,0,1,3,0,0,1,0,0,0,1,0,benign
aljazeera.net,0,0,1,6,0,0,0,0,0,0,1,1,benign
katproxy.com,0,0,1,3,0,0,0,0,1,1,1,1,benign
indianexpress.com,0,0,1,3,0,0,0,0,0,0,1,0,benign
smallseotools.com,0,0,1,2,0,0,0,0,0,0,1,0,benign
mirtesen.ru,0,0,1,2,0,0,0,0,0,0,1,0,benign
web.de,0,0,1,5,0,0,0,0,0,0,1,0,benign
mashable.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
yourlust.com,0,0,1,2,0,0,1,0,0,0,1,0,benign
serverfault.com,0,0,1,3,0,0,1,0,0,0,1,0,benign
kakaku.com,0,0,1,6,0,0,0,0,0,0,1,0,benign
twitter.com,0,0,1,1,0,0,0,0,0,0,1,0,benign
plarium.com,0,0,1,5,0,0,0,0,0,0,1,0,benign
extratorrent.cc,0,0,1,3,0,0,0,0,1,1,1,1,benign
mirtesen.ru,0,0,1,1,0,0,0,0,0,0,1,0,benign
