Domain,Having_IP,Have_At_Sign,URL_Length,URL_Depth,Redirection,HTTP_Domain,Tiny_URL,Prefix_Suffix,Iframe,Mouse_Over,Right_Click,Forwarding,Label
confirmprofileaccount.com,0,0,0,0,0,0,1,0,1,1,1,1,phishing
marreme.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
modsecpaststudents.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
oportunidadedasemana.com,0,0,1,1,1,0,0,0,1,1,1,1,phishing
villashippingtradingpv-my.sharepoint.com,0,0,1,5,0,0,1,1,1,1,1,1,phishing
ikonikcommercialgroup.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
fareast.qa,0,0,1,3,0,0,0,0,1,1,1,1,phishing
kassa.click,0,0,0,2,0,0,0,0,1,1,1,1,phishing
storage.googleapis.com,0,1,1,3,0,0,1,0,1,1,1,1,phishing
decifra.com.br,0,0,1,3,0,0,0,0,1,1,1,1,phishing
thejobnewsupdate.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
mocktails.co.in,0,0,0,1,0,0,0,0,1,1,1,1,phishing
chad-moore.com,0,0,0,1,0,0,0,1,1,1,1,1,phishing
thejobnewsupdate.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
stolizaparketa.ru,0,1,1,7,0,0,0,0,1,1,1,1,phishing
03418f6.netsolhost.com,0,0,1,1,0,0,1,0,1,1,1,1,phishing
paws.org.au,0,0,1,9,0,0,0,0,1,1,1,1,phishing
chiatena.zxy.me,0,0,1,5,0,0,0,0,1,1,1,1,phishing
royalhometouchhotels.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
infopublishersassociation.com,0,0,1,8,0,0,0,0,1,1,1,1,phishing
qwmj.weebly.com,0,0,0,0,0,0,0,0,1,1,1,1,phishing
nowskins.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
atendimento-sac-pg.joomla.com,0,0,1,3,0,0,0,1,1,1,1,1,phishing
saleschampion.co.uk,0,0,1,5,0,0,0,0,1,1,1,1,phishing
sites.google.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
medienschmiede-sander.de,0,0,1,2,0,0,0,1,1,1,1,1,phishing
weddingsbyknottydays.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
meduchet.com,0,0,1,6,0,0,1,0,1,1,1,1,phishing
35.188.36.185,0,0,1,4,0,0,0,0,1,1,1,1,phishing
lt.mydplr.com,0,0,1,1,0,0,0,0,1,1,1,1,phishing
maciel.med.br,0,0,0,3,0,0,0,0,1,1,1,1,phishing
lz5.1ee.myftpupload.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
jrgm.com.mx,0,0,0,1,0,0,0,0,1,1,1,1,phishing
kidgmt.xyz,0,0,1,1,0,0,0,0,1,1,1,1,phishing
agro-hotel.com,0,0,0,1,0,0,0,1,1,1,1,1,phishing
prettanike.com,0,0,0,3,0,0,0,0,1,1,1,1,phishing
costcutterhome.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
art-hous.ru,0,0,0,2,0,0,0,1,1,1,1,1,phishing
zdravets.org,0,0,0,3,0,0,0,0,1,1,1,1,phishing
dev.klinikmatanusantara.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
grindtimegym.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
iamlosingweighttoday.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
lynshirt.com,0,0,1,6,0,0,1,0,1,1,1,1,phishing
smartraining.org,0,0,1,5,0,0,0,0,1,1,1,1,phishing
windowshost404902.s3-ap-southeast-1.amazonaws.com,0,1,1,2,0,0,0,1,1,1,1,1,phishing
amazon.co.jp.lcmgo.com,0,0,0,0,0,0,0,0,1,1,1,1,phishing
auslaufen.com,0,0,1,3,0,0,0,0,1,1,1,1,phishing
vodaverify.online,0,0,0,0,0,0,0,0,1,1,1,1,phishing
preferredtitlellc.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
216.83.55.154,0,0,1,2,0,0,0,0,1,1,1,1,phishing
imcreator.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
bcpzonasegurabeta.viabcp.com.firstpage.technology,0,0,1,0,0,0,0,0,1,1,1,1,phishing
acct-scsouthmountain-inv.org,0,0,1,3,0,0,0,1,1,1,1,1,phishing
wpcorporate.sfdevserver.com,0,0,1,7,0,0,0,0,1,1,1,1,phishing
netorgft1541989-my.sharepoint.com,0,0,1,5,0,0,1,1,1,1,1,1,phishing
bnkrealestate.com,0,0,1,7,0,0,0,0,1,1,1,1,phishing
mail.roofvismagazijn.nl,0,0,1,2,0,0,0,0,1,1,1,1,phishing
schule-niederrohrdorf.ch,0,0,0,2,0,0,0,1,1,1,1,1,phishing
enquiry-id-918412.net,0,0,1,1,0,0,1,1,1,1,1,1,phishing
bunnyhairextensions.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
lovetheedit.com,0,0,1,4,0,0,1,0,1,1,1,1,phishing
icloud.com-lt.ru,0,0,0,0,0,0,0,1,1,1,1,1,phishing
payuupal.ddns.net,0,0,0,0,0,0,0,0,1,1,1,1,phishing
ipa.edu.kh,0,0,1,5,0,0,0,0,1,1,1,1,phishing
bbfunding-my.sharepoint.com,0,0,1,5,0,0,1,1,1,1,1,1,phishing
forms.office.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
themesradar.com,0,0,1,7,0,0,0,0,1,1,1,1,phishing
zohard.com,0,0,1,8,0,0,0,0,1,1,1,1,phishing
sucursalpersonas.ingresagruupobancolombia.com,0,0,1,3,0,0,0,0,1,1,1,1,phishing
u1047531.cp.regruhosting.ru,0,0,1,2,0,0,0,0,1,1,1,1,phishing
amazon.de.signin.verification.openid.5935156.keitingbrunre.tk,0,0,1,3,0,0,0,0,1,1,1,1,phishing
momos-ambachtelijkeijs.nl,0,0,1,5,0,0,0,1,1,1,1,1,phishing
baleshwerbabaonline.com,0,0,1,7,0,0,0,0,1,1,1,1,phishing
kazanyukleara.org,0,0,0,1,0,0,0,0,1,1,1,1,phishing
c1511482.ferozo.com,0,0,0,4,0,0,0,0,1,1,1,1,phishing
blackdogfirewood.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
civilcontractorsinmumbai.in,0,0,1,3,0,0,0,0,1,1,1,1,phishing
handsonbeautysalon.co.uk,0,0,1,3,0,0,0,0,1,1,1,1,phishing
courgeon-immobilier.fr,0,0,1,6,0,0,0,1,1,1,1,1,phishing
codeblue.ch.net2care.com,0,0,1,2,1,0,0,0,1,1,1,1,phishing
groupmatrix-my.sharepoint.com,0,0,1,4,0,0,1,1,1,1,1,1,phishing
u708953pu8.ha004.t.justns.ru,0,0,0,1,0,0,0,0,1,1,1,1,phishing
pstratiinc.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
courgeon-immobilier.fr,0,0,1,5,0,0,0,1,1,1,1,1,phishing
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
resin3dprinterstore.com,0,1,1,1,0,0,0,0,1,1,1,1,phishing
forms.gle,0,0,0,1,0,0,0,0,1,1,1,1,phishing
martinbrown.in,0,0,1,5,0,0,0,0,1,1,1,1,phishing
imxprs.com,0,0,0,3,0,0,0,0,1,1,1,1,phishing
facturation90range.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
1drv.ms,0,0,1,2,0,0,0,0,1,1,1,1,phishing
pinnerx.com,0,0,1,2,0,0,1,0,1,1,1,1,phishing
qubectravel.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
sriaishwaryaconstruction.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
icloud.com.support-careplus.com,0,0,0,0,0,0,0,1,1,1,1,1,phishing
connect.lendingcentralcoast.com,0,0,1,3,0,0,1,0,1,1,1,1,phishing
aapj-bbempresarial.com,0,0,1,1,0,0,0,1,1,1,1,1,phishing
dev.klinikmatanusantara.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
cachesistemas.com.br,0,0,0,2,0,0,0,0,1,1,1,1,phishing
fresleitlie.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
kuchkuchnights.com,0,0,1,1,0,0,0,0,1,1,1,1,phishing
caribconnectlaw.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
izishop.info,0,0,1,4,0,0,0,0,1,1,1,1,phishing
ugaflix.com,0,0,0,4,0,0,1,0,1,1,1,1,phishing
han.gl,0,0,0,1,0,0,0,0,1,1,1,1,phishing
lauraburkowsky.ca,0,0,1,5,0,0,0,0,1,1,1,1,phishing
barogaleria.com,0,1,1,5,0,0,0,0,1,1,1,1,phishing
lucidfestival.com,0,0,1,6,0,0,0,0,1,1,1,1,phishing
southfreak.cc,0,0,1,1,0,0,0,0,1,1,1,1,phishing
bnkrealestate.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
alkalizingwaters.com,0,1,1,3,0,0,0,0,1,1,1,1,phishing
officialismsschwartze.net,0,0,0,0,0,0,0,0,1,1,1,1,phishing
feedback.alleqro-pl.printingperthwa.com.au,0,0,1,3,0,0,0,1,1,1,1,1,phishing
seg-dispositivo.com,0,0,0,1,0,0,0,1,1,1,1,1,phishing
a0433638.xsph.ru,0,1,1,3,0,0,0,0,1,1,1,1,phishing
seecovalves.com,0,0,0,3,0,0,0,0,1,1,1,1,phishing
maanprofessionals.nl,0,0,0,1,1,0,0,0,1,1,1,1,phishing
itcitymm.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
secure-account-info.openvcsme.cf,0,0,1,0,0,0,0,1,1,1,1,1,phishing
bre-tech.com,0,0,0,2,0,0,0,1,1,1,1,1,phishing
159.203.115.201,0,0,1,5,0,0,0,0,1,1,1,1,phishing
email302.com,0,0,1,6,0,0,0,0,1,1,1,1,phishing
opensource854.ml,0,0,1,1,0,0,0,0,1,1,1,1,phishing
h4q78.mentriqq.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
joemorriisey.typeform.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
department-page-secure.live,0,0,0,0,0,0,0,1,1,1,1,1,phishing
extravasatingmetalworker.com,0,0,0,0,0,0,0,0,1,1,1,1,phishing
brightmesh53.website,0,0,1,2,0,0,0,0,1,1,1,1,phishing
scolopendrine-harpo.000webhostapp.com,0,0,0,0,0,0,0,1,1,1,1,1,phishing
starllingbank.co.uk,0,0,0,1,0,0,0,0,1,1,1,1,phishing
secure.runescape.com-ors.xyz,0,0,1,2,0,0,0,1,1,1,1,1,phishing
autorizador5.com.br,0,0,1,6,0,0,0,0,1,1,1,1,phishing
ecusltd-my.sharepoint.com,0,0,1,7,0,0,1,1,1,1,1,1,phishing
firebasestorage.googleapis.com,0,0,1,5,0,0,1,0,1,1,1,1,phishing
betasuslinkgir.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,phishing
bowmanconsultinggroup-my.sharepoint.com,0,0,1,5,0,0,1,1,1,1,1,1,phishing
margottepsychotherapy.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
orientationinlaws.com,0,0,1,3,0,0,0,0,1,1,1,1,phishing
webmasteremailsupdating2020.hexat.com,0,0,0,1,0,0,1,0,1,1,1,1,phishing
bebegimlebuyuyorum.blog,0,0,1,5,0,0,0,0,1,1,1,1,phishing
fareast.qa,0,0,1,3,0,0,0,0,1,1,1,1,phishing
utffunds.com,0,0,0,3,0,0,0,0,1,1,1,1,phishing
owaoutlook-webmailadmin.moonfruit.com,0,0,0,0,0,0,1,1,1,1,1,1,phishing
s.kekk.is,0,0,0,1,0,0,0,0,1,1,1,1,phishing
pkk.depok.go.id,0,0,0,2,0,0,0,0,1,1,1,1,phishing
forms.office.com,0,0,1,2,0,0,0,0,1,1,1,1,phishing
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,1,1,1,1,phishing
betasus4.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,phishing
mailbox31update.xxuz.com,0,0,1,1,0,0,0,0,1,1,1,1,phishing
preeteshevents.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
dwstudiofilms.com,0,1,1,2,0,0,0,0,1,1,1,1,phishing
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
halfmoonsmast.jrcasey.com,0,0,1,6,0,0,0,0,1,1,1,1,phishing
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
ascmgpr.ir,0,0,0,2,0,0,0,0,1,1,1,1,phishing
cruzsantiagoverta.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
lterbisjyougds.buzz,0,0,0,0,0,0,0,0,1,1,1,1,phishing
castudillo.cl,0,0,0,3,0,0,0,0,1,1,1,1,phishing
solarcomm-info.com,0,0,1,3,0,0,0,1,1,1,1,1,phishing
dota2-world.com,0,0,0,0,0,0,0,1,1,1,1,1,phishing
powaywelding.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
aroma-italiano.xyz,0,0,0,0,0,0,0,1,1,1,1,1,phishing
bajer.info.pl,0,0,1,5,0,0,0,0,1,1,1,1,phishing
receba-emcasa-bahianiinho.com,0,0,1,2,0,0,0,1,1,1,1,1,phishing
djeane.com.pe,0,0,0,3,0,0,0,0,1,1,1,1,phishing
rplg.co,0,0,0,1,0,0,0,0,1,1,1,1,phishing
web-net-pg.joomla.com,0,0,1,3,0,0,0,1,1,1,1,1,phishing
